"action","marca","modelo","tipo_documento","source","destination","bytes","status","observacao"
"copy","VALTRA","A125 HiTech","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A125 HiTech/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A125 HiTech\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A125 HiTech","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A125 HiTech/FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A125 HiTech\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","240866","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A134H","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A134H/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A134H\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A134H","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A134H/FOLHETO DOS TRATORES AGRICOLAS A4 HITECH.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A134H\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A4 HITECH.pdf","3401868","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A134H","manual_operador","TRATORES AGRICOLAS VALTRA 2/A134H/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A134H\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A135","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A135/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A135","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A135/FOLHETO DOS TRATORES AGRICOLAS A5.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A5.pdf","2378539","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A135","manual_operador","TRATORES AGRICOLAS VALTRA 2/A135/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A135 HiTech","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A135 HiTech/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135 HiTech\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A135 HiTech","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A135 HiTech/FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135 HiTech\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","240866","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A135 HiTech","manual_operador","TRATORES AGRICOLAS VALTRA 2/A135 HiTech/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135 HiTech\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A144","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A144/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A144","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A144/FOLHETO COM  INFORMAÇÕES SOBRE ECONOMIA DE COMBUSTÍVEL, CONFORTO, VERSATILIDADE E TECNOLOGIA AVANÇADA DE TODOS TRATORES VALTRA..pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144\07_ficha_tecnica_folheto\FOLHETO COM INFORMAÇÕES SOBRE ECONOMIA DE COMBUSTÍVEL, CONFORTO, VERSATILIDADE E TECNOLOGIA AVANÇADA DE TODOS TRATORES VALTRA..pdf","189856864","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A144","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A144/FOLHETO DOS TRATORES AGRICOLAS A4.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A4.pdf","2196975","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
